timestamp,speaker,words,tags,county
0:00:05,Denise,What's your name? When and where were you born and where did you grow up? ,q-details,Ada 
,Alexander Milles (AM),"I'm, oh goodness that was a big question. I was born in Honolulu, Hawaii in Waikele, which is near Pearl Ridge or Pearl City where Pearl Harbor happened. Uh, what were the other questions? ",,
,Denise,What's your name? When and where were you born and where did you grow up? ,q-details,
,AM,"Alex. Um, yeah Alex Milles. ",,
,Denise,And when and where were you born and where did you grow up? ,q-details,
,AM,"Yeah, so my name is Alex Milles. I was born in Honolulu, Hawaii. I grew up there for most of my childhood and then when I moved to High School I moved to Idaho…Boise. ",,
,Denise,"Okay, okay. So, what was it like transitioning from Honolulu to Boise? ",q-up,
,AM,"Unexpected. Um, you know I went with the stereotype of course I thought I was just going to be moving straight into potato fields. So, that was just the first expectation I had. For me it was more literal the changes I kind of dealt with as far as the weather. You know, I just didn't adapt as a child to changing weathers or weather that could kind of be hot and cold at the same time. So that was more kind of the things I grew up with when I was going with, moving first to Idaho.",comingout,
0:01:17,Denise,Were you sad to leave your friends and stuff and have to go to a new high school? ,,
,AM,"I had moved consistently in my childhood. My mom's military and she went through a divorce. So I mean, no. I was ready to leave at that point. I just wasn’t necessarily wanting to go to Idaho for sure. And I mean that was I think a big thing for me, was the culture shock. Hawaii is just completely different comparatively to Idaho and the way we culturist...or the way our culture established and you know, we literally in Hawaii separate the races. So the kids will, it's all Hawaiian, it's all Chinese, it's all set groups. Um, versus in Idaho it's very classical school. What you see on T.V is what you get kind of um, to some degree. So that was a new experience for me. Um, I actually talked about this with my best friend recently, but understanding the culture was something I kind of had to learn to do and I didn't even realize at the time that's what I was doing. And I kind of fell in love with my culture in a way because it was something I, you see on T.V. It's kind of a, I want to say Americanized, but you know, needs to be popular. ",comingout; other,
,Denise,Yeah. ,,
,AM,Yeah. ,,
0:02:21,Denise,"So, how old were you when you moved here? Fourteen, thirteen?",q-details,
,AM,"Oh god, fourteen. Yeah, I think it was thirteen or fourteen. ",,
,Denise,Okay. ,,
,AM,"Fourteen. I remember my birthday particularly, but I can’t remember the year, the age I was. ",,
,Denise,"So, were you out? ",q-out,
,AM,No. Oh god no. ,,
,Denise,"Okay, so you had to come out in Idaho? ",q-out,
,AM,"Yes, oh yeah. ",,
,Denise,Okay. ,,
,AM,Uh huh. ,,
,Denise,So tell me about coming out in Idaho. ,q-out,
,AM,"Well I was so focused in my own personal life I didn’t put coming out on the table. I mean in high school I just never considered it. It was just something um…so I actually just finished reading The Velvet Rage. I don’t know if you've read it, but it’s an amazing book about men, gay men coming out. it also deals with I think anyone that's homosexual in general. Um, I learned a lot about just the coming out process through that. Um, at that point I, I, I, so children when they're growing up, children are actually the most astute at identifying cultural non-normative because they grow up understanding the culture that they're around. Um, so children can be uh, very good at picking out when someone isn't matching the normative. And so gay children identify from a very young age that something's wrong with them and they need to like cover it up somehow. And you see that with preschoolers. it's very hetero-normative. Kids will like play dates or play mom and dad. Things like that. And so I was too ashamed. I didn't want to process it and I was too busy focusing on the other aspects of my personal life I think to get that point. But college I think kind of the table turned because I wasn't with my family unit at that point. So I felt more comfortable and I was kind of, uh...so I actually spent a year in community college and I was going to school, doing my thing, and then when I went to the University of Idaho I kind of went balls to the walls and I just came out. Some of my fraternity brothers asked me and I was like obviously gay and I just kind of went with it from there and then from college it kinda just, it uh, coming out is a continuous process for gay men or for gay people. I'm sure they talk about that. ",comingout; models,
,Denise,"Forever. I talk with friends and it's like why do you have to keep coming out. Like straight people don't do it, you know. ",q-out,
,AM,"Right, right. Exactly. You don’t come out as black. ",comingout ,
,Denise,"No, it's annoying. ",,
,AM,"Yeah. It’s annoying and it’s definitely something interesting and I've learned a lot from my professional work stuff. That's I think the harder component. Do you come out at work and do you feel comfortable talking about that issue. Um, you know I'm lucky I work in a nonprofit, so I feel comfortable to have that conversation, but at my new job, which is publishing I wouldn't necessarily really bring that up to people just because I don't think it's appropriate necessarily. ",comingout; work,
0:04:50,Denise,"No, it's not. Okay, so who did you come out to first? And how was, how was the experience and what was the response? ",q-out,
